title,review,score
"Worst network, worst customer service","I was having so so much of problems with their poor network that I decided to move to Telstra(which is the best thing i did).They still charged my account incorrectly after promising that I donâ€™t have to pay anything now.Now i have been struggling for weeks and weeks just to get the refund back to my account.Have called them so many times, they always promise to process the refund this time and that never happens. By the way each call means around an hour of my time.Havenâ€™t got the refund yet, check the below screenshot and see how they fool the customers.",1
The coverage is getting worse,Vodafone was okay but the network is getting worse. I can not even get a 4G network consistently. After this sim plan contract finish will definitely move to other service provider,2
Bundles,"I have 4 services bundled with Vodafone getting 15% of each service,you need 5 services to get 20%,I tried to add another son who is a very wealthy from a car accident that left him quadriplegic and was denied.Fair dikum bunch of knobs that I'm stuck with now,you will do better elsewhere.",1
It's ok,"It's ok but I won't suggest to another member of my family because they're charging too much and even didn't explain or refund me. When I call asking lots of question, It just waste of my time.",2
Bad service,"I'm on $45 plan and every month send me bill 60-85   always add some extra services and blame your customers. Only SIM plan not even lock in contract, Avoid avoid Vodafone crap service and network. Shane on. Never recommend anyone.Greedy",1
Customer Service Reps who clearly hate their jobs,"Went into Vodafone Burwood to help a friend with her prepaid account. Shes new to the country so wanted some help with what would be the best option for her. We asked the customer rep who was clearly free. As soon as we requested what we were after, she seemed disinterested, walked off without saying anything (which baffled us a bit), then came back with a piece of paper, saying ""here are the options, pick whatever you want"". I later found out from my friend who used to work for Vodafone that its because she wouldn't make any money out of us, the money would be in signing up new customers. 

Whatever the reason, she clearly just didn't care. As we asked questions, her response was basically, ""well up to you"". Anyway, she puts the transaction through without confirming. (We wanted to start the new plan after the old plan ran out), which meant my friend lost left over credit on her old plan. No apology, just ""oh well you guys didn't tell me.""

If you're in Burwood, don't go to ""Suzie"", if that's even her real name. Shes the one with big fake nails, and caked on makeup.",1
New App,"The new ""app"" is absolutely terrible. Haven't been able to use it since the ""upgrade""I can never log on due to technical issues.I'll try it one more time... it sucks!",1
Deceiving customers,"The customer reps would not listen and makes assumptions and conclusions without checking for details.Deceive customers in to buying new plans with false promises. By upgrading my plan, they have really downgraded my plan",1
Very poor,"I want to let everybody know how reprehensible Vodaphone are:1. Dad had a stroke, and his speech was severely affected. Despite this, he continued to be able to remain in contact with family far away. Then,2. The hospital lost his phone, which he continued to ask for, even some weeks later.3. I finally got around to trying to get his bill waived, because he could not do this for himself. After much toing and froing, they agreed not to bill him again. They said it would be a simple matter if he had died.4. They sent yet another bill, despite their promise not to bill him, so I phoned to let them know he has died. STILL not a simple matter! Thank you Telstra for being human when my Mum died, despite her contract not being fully paid.",1
Worst Provider and worst customer service,"I had a 24 month contract with Vodafone and they not only were charging more than everyone else, when my contract ended, I added my wife's number on to it as they said I'll get it for much cheaper. They didn't tell me that they were adding me to another contract.. ANOTHER 12 MONTHS.. And when I moved to optus, after my initial 24 months they charged me 200 for early exit...!!! I called the customer service and they were rude as hell..",1
Would not recommend to anyone.,"Tried to rip me off with double billing for the same period. When called them, some Indian operators argued with me saying they haven't done anything wrong and that I just don't understand the bill. It took me multiple calls to prove them wrong and to get the wrong bill cancelled. They agreed only after I threatened them with Fair Trading. This customer support guys from India are horrible and very rude. I will wait for my contract to finish and mice to another provider",1
"Useless, 100 mbps down to 1 mbps","Connection was good for 1st two months, Now its down to 1 mbps for two days. Backup 3G/4G connection also slowed down to same level. I assume vodafone has two many customers compare to available quota or they tweak the system to slow down, lets wait for few more days",1
From start to finish the worst mobile experience I have had,The staff member I dealt with when purchasing a SIM in store was pushy and aggressively attempted to sell me a more expensive plan despite my making clear that I did not need or want one.,1
What they charge extra for credit card pay,I went for plan they never mention they will charge extra for credit card payments even they charge me upfront within 15 days for whole month and the network 14/7  they said but my call hangs out I have to call back to back to continue conversation  they have con staff just focus more on money then qualityIf you are sensitive and look value of your money never choose Vodafone,1
Ver bad experience with Vodafone customer service.,Ver bad experience with Vodafone customer service. I recently place my order with Vodafone for iPhone 11 pro max but they declined my application telling me that my credit score is declined and told me to go and check credit score with illion. When I checked my credit score with illion site they said That my credit score is good to go. Again I called to Vodafone customer and said that I checked my credit with illion and my score is good and asked them to tell me reason why my credit score is declined and they take rudely and told me that they cannot provide me reason why my application is rejected. Very bad service provided by Vodafone,1
Warning Don't get Vodafone NBN,Since I signed up with Vodafone I have had nothing but trouble I'm on the so called fastest NBN and I cant even watch Netflix without it buffering I only have 2 smart phones and a smart TV using this it should not be this slow but when you ring customer service or technical they keep trying to tell me I'm getting a fast internet speed I say if its that fast why is it buffering all the time when I had less trouble with my adsl when I do a speed test it shows a slow speed of 7mbps when I'm ment to be getting 80 +,1
False misleading advertising of overseas call charges,"I was heading overseas so transferred to Vodafone because they advertise ""use your plan while overseas for $5 a day"". It turned out this is highly misleading advertising (my wife remains with them) sends an SMS when entering each new country indicating receiving SMSs is always free (so allows the phone to be taken out of flight mode with no charges). The SMS offers an all you can eat $10 daily charge or if you are only going to use the phone briefly (e.g sending one or two SMSs) then you can choose to only pay for what you use. Vodafone do not offer these options 

The conclusion Vodafone's overseas special deal is more expensive than the other carriers

I was so frustrated with Vodafone that on coming home I immediately transferred away. Unfortunately Vodafone then charged me a final bill of $8 to transfer my number! ",1
Need better customer service,"Generally Vodafoneâ€™s okay however when there is an issue I have to speak to someone who cannot speak English, so I can never get an answer to my problems and nothing every gets fixed.",2
Porting out issues because of new security policy!,"So last month I went to activate a new sim & port out from another carrier. Usually it's a simple process but I ended up not knowing what happened when I ended up with their standard prepaid # thinking I ported out wrong.hat there's been a new security policy which I was meant to click a link from my Optus sim first before porting out. Which is ridiculous!

How am I supposed to know if I am using a Vodafone sim & they SMS me on my original number on the other carriers sim & when no emails were sent to me. Apart from an SMS to mention on their Vodafone sim that came through once that the porting of the number is in progress. The live chat team could not even explain to me why the porting wasn't completed until I called! Why not port my number across as well when I called as I had verified who I was.

I've already had to stop using Telstra services because of another issue. Vodafone may be next & I'll be spending my money elsewhere. It used to be a simple process!",1
Bad network ever,"Having a bad network since last week, full signal in 4G but always disconnected and drop out! They only care about what to sale ignored service quality. Never choose this over distended company!",1
very Very bad service - Just need money without any service,Always after money and no coverage.Slow network speed.Unlawful early termination fees.No support and no customer focus.I requested them to release my number but they refused asking me to pay early termination fee which they have implemented without informing me,1
"Vodafone, service coverage is getting worst everyday and your customer service takes an enormous time to answer.","Hi Vodafone, your service coverage is getting worst everyday and your customer service takes a lot and lot and lot of time to answer, phone signal drops all the time and all you can do is to wait for the signal and it is very frustrating when you are talking to important people. Vodafone you really are the worst network. One Unhappy loyal customer here for more than 10 years.",1
Customer Service,"What, used to be a good company, who, consistently used to get full marks from me on surveys, has gone down hill! Have tried to disconnect a service, for 7 days. Call backs never come and when I have spoken with someone, they have not done what I asked. Disconnect a phone number; it's not difficult! One Star.",1
If you need a business account do not use Vodafone!!!!,"I started a business and bought a new phone + new number from Vodafone. The IPhone X I bought is just 6 months old and already has several issues ! Then, the plan...well, their small business approach is absolutely outrageous. I have a personal number with Vodafone and never encountered the problems I do with the business account. Although I am a small business and the amount I owe is $100/month if I fail to pay on the date (which happens in business due to low cash flow) they not only add 10% penalties but also suspend your calls and data after 2 weeks. I have never ever had my personal phone calls suspended even if I was late a month, why am I treated like that just because I am a business?? After you pay the bill they take 48 hrs to unlock the calls!!! Great for a business!!!
Shop elsewhere business owners!!!",1
Donâ€™t trust roaming,"I was led to believe that roaming allowed you to use your phone as if you were in Australia, however please be aware that you donâ€™t get voicemail message notifications nor can you access voicemail as you would in Australia.I missed very important messages when I was away - very frustrating that I wasnâ€™t notified.",2
Changing my mobile was easy,I have used Vodafone for some time and the network coverage was a significant improvement to my last service.  upgrading my mobile in the Wanneroo store was really straightforward and the store member was very helpful. I have now started to use Vodafone for NBN. So far so good,5
Very difficult company to deal with,"Very difficult and unhelpful company. If you can, go to TELSTRA. Did not assist with account consolidation, or phone upgrades. Online staff could not understand spoken English. The text chat line was useless.",1
I love my Vodafone,"I think Vodafone is great, they have pretty good prices and gives you a good amount of mobile data at a reasonable priceCan't complainI've been with them for over 10 years and never had any problems that won't fixed early :)",5
Worst customer Service in the world!,"Poor customer service, asked for a refund. Vodafone was unable ID card used. Requested I provide number to all my cards to find the right card used. Worst ever company",1
The worst one,"I have a lot of mobile data, what is expensive, that actually I canâ€™t use because it never works properly. I live 5km far from Melbourne CBD and it never works at home. I already tried my friends mobile data at home and all of them who donâ€™t use Vodafone have their mobile data working properly. The download speed is 3.1mbps.Regret only.",1
Shocking customer service!,Poor communication and not at all helpful. Very disappointed. I was given the run around for 6 hours yesterday and still no decent outcome. Website is unhelpful and none of the contact numbers are relevant.,1
Hopelessly MOBILE PHONE COVERAGE,You need to fix up your mobile phone coverage is hopeless. Everytime I call the useless call centre it's the same old story line we are doing upgrades to the towers in your location how many times a year can you update and upgrades your mobile phone towers.,1
Changes to My Vodafone,"Vodafone HAD the clearest and easiest to use website, My Vodafone. It was the reason I changed to Vodafone. Last week it was changed. It is now not possible to access My Vodafone on a computer. The only simple thing to find is data usage, everything else is arduous and barely worth the angst. I will give them a month to correct this. Meanwhile my research has started for another Telco.",1
disgusting!,they charge me too early than it should thought paying MONTHLY! then whats this ?first april 23rd i paid straight from my account $57 for monthly  then may 21rst then june 19th and this month is july 17 im so upset about this !i didnt consume all my data coz i off  when i dont need it ..then instead of monthly payment they ask payment to early whats next i have to pay every week ?instead of monthly .?its sad .,1
Slow speed &amp; higher rates,"I have been using Vodafone over 2 years and not happy with the service they provide. Recently, the network slowed down to 1 or 2 Mbs. I called them and they said there is a network issue and would be fixed by the end of the week. However, It has never been fixed and customer representative could not do anything about it.Another fact is that it is much more expensive than other network providers. I would suggest to avoid Vodafone. I am thinking of switching to another provider.",1
Latest email bill in html format and completely unreadable - Customer service just not interested,"Moved my company phones to Vodafone 6 months ago, now I am really regretting it.The latest email bill arrived but it is in html format and completely unreadable with no attached pdf statement.Wasted my time trying to use their awful App to find the amount to payThen called and  customer service just not interested - kept telling me to use the AppCoverage is awful too - sat in Nepean hospital and Optus and Telstra full signal - no signal from Vodafone.",1
Horrible customer service,"Imagine what is the standard of customer service at Vodafone? I had a written chat with three customer service specialists ([name removed], [name removed] and [name removed]) Every time these individuals were about to cancel my mobile phone services with Vodafone, my internet got disconnected with each one of them ( I repeat, yes that's right, with each one of them, sounds like a Hollywood movie climax, isn't it?) I had to go through the identification process and then answer why do you want to leave us and wait for them to read through the notes? I spent one and a half hours!! They're still unsure of why I want to quit!! Guys at Vodafone, can you trace back who I am on July 15, 2019??? Can you fix this rocket science issue please!!!",1
Customer service surprisingly helpful,"I recently needed to get a new sim and port a number.  I called and found what was obviously a foreign call centre and, having experience with Telstra's foreign call centre I was expecting long delays and poor service, but I was pleasantly surprised.  everything went as I expected, without waiting too long, and when I had difficulty removing the sim I got put through quickly to a tech guy who walked me through it.  I'm still a little stunned that I didn't get a bad experience because frankly 'bad' seems to be the corporate standard these days.  So yeah, nice one Vodaphone.",4
Customer service surprisingly helpful,just to clarify the details on my plan this is a 365 day plan emergency phone for an elderly relative to use in case the electricity goes out and takes the phone with it in what could be an emergency situation.  NBN has changed our phone network to 3rd world standards.  and don't get me started on that......,4
Pathetic,"Bought into a new mobile phone contract and really wished I hadn't bothered.  Apple phone that is plainly defective and while we should all make allowances for the odd factory defect it has been the terrible service recovery behind this.  I have two options for my brand new phone that has yet to make it to the first phone call.  1.  Head to my nearest vodafone shop and try and get this fixed, or, wait 72 hours for their technicians to assess and determine the servicability of this phone or system.  However you look at this the service level is below par.  Enter into a contract at your own risk.  I wish to god I never took the advice of probably one of the few customers who have not experienced their incompetence.  The ombudsman will be contacted and I feel a friendly warning is invited for anyone contemplating entering into a contract with this mob of incompetents.  Ps - never received an email even advised the phone number or any other critical setup info.",1
Missing credit,"Two months ago l traded my Samsung S7 in for a new Samsung S10 but the incompetent sales member did not process the credit and also sent my old phone to some obscure store. I was entitled to a $305 credit which l have been chasing ever since, to no avail. I have rung the call centre ( in India ) on a few occasions without success and l have been back in store three times and spoken with three different people, including the manager. On each occasion they have assured me that they will escalate the claim and make sure it is sorted. They have also told me that they would ring me but that has never happened. Each time l exit the store they must think great, we will put that aside and continue doing nothing. I find the service incompetent and shallow. After being with Vodafone for over 15 years it is time to move on. In addition, l find the reception is poor and getting worse. I experience constant dropouts, painful interference and poor reception. Even after consulting Samsung directly who instructed me to reset the phone connection status, it is still unreliable. I  now regret my decision to trade in my old Samsung S7.",1
Bad services and ill informed sales people,"Very weak reception and when asked they say towers are being built, been really long to be true. They advice me to use VOIP, whatâ€™s the point of paying them",1
Rating purely on Vodafoneâ€™s Twitter Customer Service,"Received excellent customer service from their Twitter account, my issue was dealt with immediately and was resolved the same day. Left me having a positive view of Vodafone Australia! Keep up the good work on Social Media Vodafone :)",5
Will never sign up again. Indian customer service is a total joke,"After 2 months of chasing the incompetent Vodafone team in India, I have STILL not received a credit from trading in my phone and continues to be added to my bills in addition being charged late fees on a credit on my own trade in phone! I have rung up multiple times and  after multiple assurances and documentation to show I am to receive a credit nothing has happened after much ""sweet"" talking by the Indian customer team. I will be taking this up with the ombudsman and I will en-devour to tell EVERYONE how terrible Vodafone service is.",1
No signal and charged Porting Fee??!,"Been with Vodafone 5 years.  To me city & parramatta signals are not bad but once we go past Newcastle, impossible to get reception. I just ported and  charged $8.  Iâ€™ve ported my number at least 7 times and ONLY VODAFONE charged this â€˜porting feeâ€™",2
The worst provider that you can go with period...,"If I could give 0 stars I definitely would, but for now let me save you from a world of pain before you even think of making that terrible decision of switching to Vodafone. For starters you will get very patchy phone reception and internet close to the CBD and when you do you will consistently lose it making your blood pressure go through the roof, rebooting your phone 10 times a day will then be a necessity. Forget about reception in the saburbs and when you go to country towns, just leave your phone behind, it will not be any use to you.",1
horrible reception to the point of almost unusable,"Not realisable net work at all, data and phone calls are alike, there are many black spots such as Burwood Sydney which is a metropolitan area yet the reception is so bad in some pockets whether a phone call is possible is almost like a gamble",1
"Out of 3 Aussie phone companies, by far the worst service","I've used Telstra, Optus, and Vodafone. I thought Telstra was bad, but Vodafone is much worse. I've actually dealt with customer service issues in 2nd or 3rd world countries that were easier. I ordered a SIM card online and it was never delivered. When I called, it seems it was awaiting stock (how does a telcom company run out of sim cards?) but there was no expected re-stocking/delivery date in sight, so I asked to cancel and refund. refund yet. Their customer service is separated into many individual working parts, and having to re-explain yourself multiple times to representatives that were at times fairly rude, was pretty disappointing from a national company.",1
Unfair charges,"When I went on holidays to Italy and Chile I bought a Travel SIM card from Sim corner, before getting to Italy I removed my a Vodafone SIM card and inserted the Travel one, Which I used while in Italy, to my surprise when I got the bill from Vodafone I was charged $5 for 9 days, when I placed a complaint their excuse was that probably I had a dual card in my phone, which it is not possible, they didnâ€™t believe me that I only had the Travel card from Sim corner, even staff from Sim corner send them a message stating that I used their SIM card, not the Vodafone card.Has anyone else had the same experience?",1
Worst customer service,Customer service reps have no idea what they are doing.Asking same questions and not even referring the notes.No help or support at all.,1
Worst service,"phone has only emergency call only until when I restarted, now I could call but there is no network for internet, when tried to call vodafone to resolve the issues, numbers are not contactable. Vodafone network has never been reliable but never been this bad until recently. Although they are the cheapest, guess you get what you paid for. Do not sign up for vodafone. I hd enough and jumping to optus now !! Such a bad service",1
Vodaphone - don't ever contact me again after wasting hours and hours of my time with no result,"Vodaphone did a systems upgrade, end result I can't log into my own account. 3.5 hours of my time wasted, lied to about lodging a Telecommunications Ombudsman complaint on my behalf, want to charge me for transcripts of my own conversations with them going over the same actions over and over and over with no results, at the rate of $35 per hour of transcript so a minimum cost of $140 to get the print outs to put with my TO complaint.  Their Privacy Office - which deals with this type of complaints - did everything they could to discourage me from loding the TO complaint.  After hours of stress and wasted time, end result, 14 new pin numbers, continually deleting and redownloading the app - final advice was to go to a Vodafone shop in person .  Even to lodge a request for the transcripts, go and print the form out, sign it and then scan it back.  Obviously designed to discourage people from lodging complaints if they don't have access to printers and scanners.  No, they don't compensate you the hours of your time wasted trying to get them to fix the problem.  One customer service guy smugly told me I should be congratulating him on fixing the problem - but the problem wasn't fixed at all.  Never ever would I recommend Vodafone to others, and I won't be continuing my service with them either.  Disgraceful.",1
Billing cycles and final invoice,"I have been a customer for 18 years, yes, 18 years! Obviously I have been happy with the service, generally. Any expectation of coverage outside the major cities is a wish list, but Iâ€™m a user in the large mainland cities. The overseas usage is fantastic when roaming with other providers ... AUD5 extra on local plan for 24 hours is very worthwhile.I have 3 mobile services with Vodafone. Today I finally closed 1 number.My problem is the cost and time of closing down a number. There appears to be a deliberate set of barriers to make this extremely difficult. This cannot be done in stores, and I tried many. Itâ€™s a time waster trying to do it on the phone, and the chat line consists of being offered unwanted benefits. What should be a 10 minute job, took nearly 45 minutes. 
And the worst, and unconscionable, part is the withholding of paid in advance fees. A fee for NO, NIL, ZILCH service. 
This wasnâ€™t a material amount, about AUD38 ... but the ethic of it suggests a company not socially responsible but driven by profit in any way. Not something to be proud of Vodafone, but I believe youâ€™ll hide behind the veil of corporate contracts.",4
Shifty company,"I just recharged my prepaid internet. Vodafail's website stated that for $60 I'd get 25 GB and 90 days' expiry date. On recharging, however, I now find out I only get 60 days to use these 25 GB and that the 90-day expiry period was only for the bonus SMS. This was NOT STATED on the initial recharge page!!! I tried to find a way to contact Voda for assistance with this or at least to provide feedback and their website was hopeless, leading me around in circles. So here I am. I decided to come here. Thanks Vodafail. That's what happens when you don't allow people to email or chat with you to get support. They leave bad reviews which other people read.

This is without a doubt one of the top 3 companies I would label as most shifty (the other 2 being outright scammers who quickly went out of business). The way they run their website is misleading and immoral in the extreme. If they lived in ancient times, they would have been stoned to death many times over.

Oh, and by the way, I don't appreciate how you don't allow me to recharge my internet when it goes below 500 MB. You tell me I have under 700 MB left and then I'm told I can't access the internet? How does that work? You just disregard those few hundred MBs? How am I supposed to recharge when I can't access your site? It should be free to access, as it used to! I should not have to go to a neighbour's house to use their internet to recharge my plan! And there should be no expiry date on recharge credit, as there used to be. That's why it's called PREPAID! If I wanted a monthly plan, I'd go with another company providing better service.

Frankly, I don't know why I bother, as so many times your internet has dropped out for days at a time with no explanation whatsoever. I think you guys are on your last legs. You've stolen enough of my hard-earned money, and I hope with all my heart you don't get to enjoy one single red cent of it. Signed, One of Many You've Screwed Over. (Some of us can't get NBN, you nitwits).",1
No network and vodafone contact numbers are not contactable,"8/6/2019 15:30pm, phone has only emergency call only until when I restarted, now I could call but there is no network for internet, when tried to call vodafone to resolve the issues, numbers are not contactable. Vodafone network has never been reliable but never been this bad until recently. Although they are the cheapest, guess you get what you paid for. Do not sign up for vodafone.",1
Terrible experience.,"If you are an Australian looking to buy a SIM card whilst in Italy, don't go there.  They told me completely incorrect information (if not Word Removed) about which card to purchase, and sold me a near useless SIM card (@ E25.00) for what I needed (ability to contact Australian numbers, and use in Malta as well as Italy).  The initial fee deducted, and 2 x SMSs used up  the entire mobile call and Text allowance, and it could not be used in Malta for anything.  Nor could I monitor any usage because they signed me up to the Vodafone NZ (yes New Zealand) app. I can only conclude that as a low value customer they just wished to get me out of their shop ASAP. The locals suggested I should have used the TIM network.",1
Unbelievably Rude,"I can add a new experience from my lunch break today. I toddled off to Vodafone as my contract is just running out again ! I walked to the nearest store. I had a Vodafone rep. helping me, we were looking at a couple of plans on the screen sitting on the counter, then along came another consultant whipped the keyboard off him and she then started helping her customer. The guy who was helping me said nothing, but for me it was complete disbelief as I had to wait for her to finish with her new customer to finish before I could resume. Question is now should I stay with Vodafone? They have already had a 2nd chance??",1
Worst Network,Signal constantly changes from 3g to 4g and i never have more than 2 bars even in town. Occasionally drops into regional service which has no data and it is impossible to reconnect. Terrible speeds. Avoid this network,1
Terrible customer service. Rude phone staff. Takes forever to get issues resolved.,Drops out constantly. Only live 10 minutes from the center of town. impossible to have a conversation with someone.Speed was okay but not worth the trouble.Would not recommend to anyone.,1
Book and appointment with a psychiatrist before calling their customer service,Customer service keeps forwarding you to another department where you have to identify yourself and introduce your problem again. This can happen uptown 5 times on a single call.Customer service will very professionally educate you about the various departments and their responsibilities when they tell you it's someone else's problem.Get ready for a roller coaster ride of frustration,1
False Promises by Vodafone,"They promise better network, upgrades in network towers but from last seven years they are unable to provide better network in Western Suburbs (Tarneit/Truganina), City and Docklands. Vodafone fails in satisfying customers with Network issues and customer service. Vodafone has confirmed the network issues and upgrades happening in these areas, and they donâ€™t have ETA. They only apologies and keep charging your monthly payments or resolves all the issues by providing small amount of credits back to the customer but not fulfilling the promises they have made, which doesnâ€™t help in getting better service. Almost 95% of my calls made or received I have to repeat myself or call fails. Customerâ€™s dissatisfaction is grown but no action taken. People who are facing issues with Vodafone please need to raise voice for a better service.",1
Very behind the other 2 mobile carriers,"Horrible service when calling those clowns overseas, they keep telling me to call the George St store in the City to organize an appointment to have my phone replaced, but they dont have contact details for stores, nor do they have that number anywhere to be found, so I need to risk going all the way to the city to be told we dont have the phone in stock. Reception absolutely sucks and it isn't even cheaper like it used to be.Just lacking common sense. Optus and Telstra are rolling out 5g, and Vodafone is still trying to get 3g to work in some places",1
Bad service and very bad internet.,"I joined Vodafone after 3 days of very bad internet I and reception rang customer services got the runaround, 30 day satisfaction guarantee they refund your money rubbish! they  kept my money then sent a bill for $8 dollars for porting my number to another provider when I left after 1 week. Used a boost even with full reception still very slow to no internet",1
Super disappointed services,"I joined Vodafone as prepaid subscriber since Nov 2018, yet on late Jan this year I've been offered a postpaid package. I took the 12-months plan with high expectation that the level of services will be better or at least maintained. Unfortunately, what I got is a lower quality services.s totally unreachable. 

I have complained 3 times for this issue, Vodafone customer service always came with same promises that it is escalated to technical team & will be resolved soon. The reality is until today, it's still not resolved & they never come back to me with any update nor resolution. I don't understand how super difficult it is to resolve this account creation issue in MyVodafone. I'm super disappointed with this & would not recommend Vodafone any longer.",1
Not happy,I've been with Vodafone for a long period of time and have had four plans with them.  Vodafone customer care had removed my plans  discounts after having a long discussion that's when they were convinced to give the discount back. Also they do not keep their promises what they said also I had a NBN100 premium connection but I didn't get  more than 20 Mbps.,1
Excellent service Vodafone Brookside Qld,Moved my mobile service over to Vodafone today after being with another supplier for 15 years. Jackie was professional and gave clear information. Highly recommend her and this Vodafone outlet,5
Very very poor network,Even data wont work properly. I have been so annoyed with it. Data is too much slow. Very very poor network. You guys should improve otherwise no one gonna use Vodafone in future.,1
plans over still charging $80 for 12 gig,look service is fine data is slow during the day in the city same with most networks after work hours its fast againwhat got me is i have been with them for 5 years bills all ways paid etc contracts over and plan doesn't get cheaper still charging $80 for 12 gigs i call and they said they Do not change your plan but now that i have called they can offer a cheaper plan no thank you i am going to another company.how many people are over paying for a service that others charge for a third the price ?,2
I've always been really happy.,"I honestly can't fault Vodafone. Yeah patchy service sometimes but that's pretty normal (whoever you're with), but everything else just rolls really smoothly. Credit card fees feel a bit archaic but I'm making an effort to actually share positive views of companies, rather than just complaining. There's not really much to hate about them. Really like how much time they give you to prepare for direct debits, too.",4
Vodafone is the best telco company for quality and customer service!,Vodafone has been nothing short of brilliant with our phones so we changed our internet which was terrible with Telstra and the support we got from Telstra was an absolute joke alone with the service. Vodafone have went above and beyond in store and on the phone and we are stoked with our phones and nbn!,5
Very bad coverage &amp; frustrating customer support - they expect me to wait 1 to 3 months to get better coverage!!!,"Very bad coverage in my area (metro area in Sydney), frequent call drop outs, and broken voice calls, very slow data download and sometimes no download at all.I rang customer service 6 times in 2 days they offer no real solutions, they keep assuring everything will be fine but nothing happens. When they felt that I am not accepting their unkept promises and unlogic solutions, they transferred my call to ""Resolve"" team, that team advised me that if I can't wait for 1 to 3 months for the service to get better, I can shift to other provider and vodafone will give me 50% discount on the fees for this month!!!I am porting my line to a better & more professional provider.",1
Vodafone is not customer friendly when itâ€™s not their way.,"I have been a loyal customer of Vodafone for over 20 years. Last year I upgraded my plan which included the iPhone 8 Plus, the phone was massively talked up by the sales staff and it was exactly what I wanted because of the features as I have the iPhone 5S. I was so excited to get the phone, however within 2weeks of me owning the phone I noticed it started to play up. I did what I had too to the phone (re-booting it to original settings etc) , the problems got worse so I started to complain to Vodafone. The first time I complained they said I was two days late with returning the phone to receive a brand new one, I also found out that they didnâ€™t put insurance. I questioned Vodafone as to why they werenâ€™t forthcoming with their return policy, they had nothing to say except, sorry. Since than the phone got worse, Iâ€™ve made numerous calls to Vodafone and Apple and I did exactly what both companies told me to do. Fast forward to now, I was told by a Vodafone shop to record the evidence of what the phone is doing so I canâ€™t be denied, which I did as said Vodafone isnâ€™t nice without evidence. I was told by Vodafone to get the phone assessed by Apple which I did, Apple saw the problems and evidence I have, Apple is on my side. Now Vodafone is saying I should never of gone to Apple and it has to be sent away for Vodafone to assess it, reluctantly I sent it away. Vodafone has the evidence of the phone and are telling me the phone is PERFECT and I have to put up with the phone or take it to Apple to get a replacement which I declined because Iâ€™m not paying nearly $1,500 for a replacement that Vodafone or Apple canâ€™t guarantee itâ€™s not 2nd hand plus I can get a replacement phone for a fraction of the cost like I did my daughters iPhone 6. Vodafoneâ€™s attitude when it comes to being honest and doing the right thing by the customer is abhorrent. They speak down to you like your crap and â€˜I have your money now put up with the crap we gave youâ€™. Even the Vodafone store said â€˜thatâ€™s normal for the phone to do thatâ€™ I told them â€˜why doesnâ€™t my iPhone 5S do itâ€™ the woman shut her mouth, she also said that she has had plenty of customers who have complained about the phone.
TIO from Vodafone said they have to assess the phone twice before they do anything, really, Vodafone assessers are a massive conflict of interest especially when the phone is assessed without the customer there to keep them honest. The Apple store does the right thing by assessing the phone with the customer there. 
Iâ€™m currently going through the Telecommunications Ombudsman. 
My resolution to Vodafone is a brand new phone that is NOT faulty (like it should of been from the start/ what I pay for) or a refund of the money that has been spent plus the insurance money, they totally reject it. Insurance with Vodafone is a waste! 
Vodafone is a scam and are only nice when it goes their way. 1 star rating is too good for them.

May 21st 2019 Update: Deserves no stars

Vodafone is an abhorrent company. They only think of money and thatâ€™s it. They with hold information that benefits them, gives out faulty phones and donâ€™t provide what their supposed to. Stay clear from Vodafone, they have gone down hill fast, rude, arrogant and the above. Iâ€™ll be changing company after being with them for 20yrs.",1
Am I the only person to have noticed that Vodafone has effectively doubled the cost of 365 day pre-paid data ?,"I recently attempted to top-up my pre-paid account, only to discover that the 365 Plus product is no longer available. Its nearest equivalent is the Pay and Go product, which at $40 offers the same 365 day expiry, the same pricing for texts and calls ... but doubles the price of data (previously $0.02/Mb, now  $0.04/Mb). I've queried this with Vodafone and they basically just blew smoke at me.",1
Very poor signal despite their claims,I have been with Vodafone for nearly a year and its most painful year for me interms of phone reception!! I have to keep up with it since I am in contract as there is hardly any signals. I dont live in remote region either .,1
Absolutely shocking service over the phone and in store.,My PUK number kept disabling on its own so I was unable to transfer money while in the shop.Very hard to hear/understand over the phone support.Could not receive calls from Vodafone users.,1
"Wonderful service, great pricing!","Service was incredible as always, Jerome made the entire process incredibly clear and easy. Weâ€™ve shopped around looking at plans for a while now, but none have been better than the ones offered at Vodafone, and for a fraction of the price too. Will definitely be staying with vodafone in the future.",5
Changing Providers,"Vodafone is a joke. I was simply trying to top up the data on my phone... accessed the Vodafone recharge page - insufficient data. Kind of hard to recharge when I cant access the page. And considering I have wireless internet at home and I also tried completing recharge while connected to that, still told me I had insufficient data.I'll be changing phone carriers due to this experience. Network coverage is pretty low. The online website is glitchy and full of freezes and hard to navigate when it constantly freezes and reloads.",1
Less of the product for the same price.,"Blocked BitChute, 8chan, and other websites at a mere government ""suggestion"".Blocking internet platforms from the public such as BitChute should be considered a crime against the public. Blocking free communication is like modern book burning.",1
Poor signal can't register,Poor signalPayments not going throughTryed registering 4 times no luckTryed temporary passwords over and over as didn't like my original passwordSeems its designed to stress you out so gave up never againSo next month im changing network,1
